region,state,actual_mm,normal_mm
Assam,Assam,881.2,1176
Meghalaya,Meghalaya,1450.0,2100
Arunachal Pradesh,Arunachal Pradesh,1600.0,1900
Nagaland,Nagaland,1050.0,1080
Manipur,Manipur,900.0,1150
Mizoram,Mizoram,1300.0,1650
Tripura,Tripura,1550.0,1700
Kerala,Kerala,2100.0,1850
Uttarakhand,Uttarakhand,950.0,850
Himachal Pradesh,Himachal Pradesh,780.0,700
Karnataka,Karnataka,1100.0,950
Maharashtra,Maharashtra,1250.0,1150
West Bengal,West Bengal,1400.0,1500
Punjab,Punjab,420.0,500
Rajasthan,Rajasthan,380.0,450
